order_id;category;price;avg_category_price;deviation
0812eb902a67711a1cb742b3cdaa65ae;utilidades domesticas;673500;63927;609573
fefacc66af859508bf1a7934eab1e97f;pcs;672900;110361;562539
a96610ab360d42a2e5335a3998b4718a;eletroportateis;479900;95366;384534
199af31afc78c699f0dbf71fb178d4d4;eletroportateis;469000;95366;373634
8dbc85d1447242f3b127dda390d56e19;pcs;459000;110361;348639
426a9742b533fc6fed17d1fd6d143d7e;instrumentos musicais;439987;92403;347584
68101694e5c5dc7330c91e1bbc36214f;consoles games;409999;65256;344743
b239ca7cd485940b31882363b52e6674;esporte lazer;405900;74728;331172
86c4eab1571921a6a6e248ed312f5a5a;relogios presentes;399990;75734;324256
41b7766bb1df487d17fb9725b78ff509;ferramentas jardim;393000;79294;313706
9de73f3e6157169ad6c32b9f313c7dcb;bebes;389900;77050;312850
9a3966c23190dbdbaabed08e8429c006;;398000;87430;310570
80dfedb6d17bf23539beeef3c768f4d7;eletroportateis;399900;95366;304534
a53e05ecd2ed1f46a2b8e1f5828be7c6;esporte lazer;369000;74728;294272
d3f66901a6743e15f9311547cc623b91;relogios presentes;370000;75734;294266
e85c92ee6a3ba1ef47e41c23286314d9;informatica acessorios;369999;81929;288070
31e50461be6957a749166e97af082d0a;construcao ferramentas seguranca;309990;61846;248144
f398a143c0fe171d965db2096cf064cf;beleza saude;312400;64525;247875
df85c824523500d4066a0dbdb5d95bed;pcs;354900;110361;244539
53c71d3953507c6239ff73917ed358c9;cool stuff;310999;67380;243619
